# World War I  U.S. Involvement by Sector and Defensive Offensive Campaign Phases

| Sector/Campaign Phase | Dates | Front/Region | Primary U.S. Role | Notes/Examples of Fighting |
| --- | --- | --- | --- | --- |
| Toul Sector (initial deployment) | Jan–Jun 1918 | Lorraine, France | Training/line-holding | Raids and patrol actions; limited offensives |
| Aisne Defensive Phase | May–Jun 1918 | Aisne, France | Reinforcement | Emergency commitment during German offensives |
| Aisne-Marne Sector (early) | Jun–Jul 1918 | Marne, France | Defensive | U.S. units bolster French line |
| Champagne-Marne Defensive Phase | 15–18 Jul 1918 | Champagne, France | Defensive | Stops German advance (phase-level) |
| Aisne-Marne Offensive Phase | 18 Jul–6 Aug 1918 | Soissons area, France | Offensive | Counterattack with Allies |
| St. Mihiel Sector (preparatory) | Aug–Sep 1918 | Meuse, France | Buildup | Logistics and positioning |
| Meuse-Argonne Offensive (phase 1) | 26 Sep–4 Oct 1918 | Argonne, France | Offensive | Large-scale U.S. push |
| Meuse-Argonne Offensive (phase 2) | 4–1 Nov 1918 | Argonne, France | Offensive | Continued advance |
| Occupation of Rhineland (post-armistice) | Dec 1918–1919 | Germany | Occupation | Non-combat duties |
| Air operations support (sector-wide) | 1918 | Western Front | Recon/escort | Squadrons rotate by sector |
