# 2006 in video gaming
> Hardware and software sales

| Place | Xbox 360 [33] | Wii [40] |
| --- | --- | --- |
| 1 | Tom Clancy's Ghost Recon Advanced Warfighter ( Ubisoft ) | The Legend of Zelda: Twilight Princess ( Nintendo ) |
| 2 | Madden NFL 07 ( Electronic Arts ) | Red Steel ( Ubisoft ) |
| 3 | Gears of War ( Microsoft ) | Super Monkey Ball: Banana Blitz ( Sega ) |
| 4 | The Elder Scrolls IV: Oblivion ( Bethesda Softworks / 2K Games ) | Rayman Raving Rabbids (Ubisoft) |
| 5 | Fight Night Round 3 (Electronic Arts) | Call of Duty 3 ( Activision ) |
| 6 | Saints Row ( THQ ) | Madden NFL 07 ( Electronic Arts ) |
| 7 | Dead Rising ( Capcom ) | Trauma Center: Second Opinion ( Atlus ) |
| 8 | NCAA Football 07 (Electronic Arts) | Marvel: Ultimate Alliance (Activision) |
| 9 | Call of Duty 3 ( Activision ) | Excite Truck (Nintendo) |
| 10 | Tom Clancy's Splinter Cell: Double Agent (Ubisoft) | Dragon Ball Z: Budokai Tenkaichi 2 ( Majesco ) |
