# Ductless Mini-Split AC Estimated Costs by Brand and System Size (Installed)

| Brand | System Size (Tons) | Zones | Installed Cost (USD) | Warranty (Typical) |
| --- | ---: | ---: | ---: | --- |
| Mitsubishi | 1.5 | 1 | 4,200 | 7–12 years |
| Mitsubishi | 2.0 | 2 | 6,800 | 7–12 years |
| Daikin | 1.0 | 1 | 3,600 | 5–12 years |
| Daikin | 2.5 | 3 | 8,100 | 5–12 years |
| Fujitsu | 1.5 | 1 | 3,950 | 7–12 years |
| LG | 2.0 | 2 | 6,450 | 5–10 years |
| Gree | 1.0 | 1 | 3,050 | 5–10 years |
| Samsung | 2.0 | 2 | 6,700 | 5–10 years |
| Carrier | 3.0 | 3 | 8,900 | 5–10 years |
| Pioneer | 1.0 | 1 | 2,650 | 2–5 years |
