# French Colonial Titles — Governor General Roles Across the French Empire (Comparative List)

| Territory | Office Style | Office Holder | Term (Start–End) | Metropole Appointer | Notes |
| --- | --- | --- | --- | --- | --- |
| New France (Canada) | Governor General | Louis de Buade de Frontenac | 1672–1682 | Louis XIV | Canadian theater |
| Saint-Domingue | Governor General | Jean-Baptiste du Casse | 1691–1700 | Louis XIV | Caribbean focus |
| French India | Governor General | Joseph François Dupleix | 1742–1754 | Louis XV | Pondicherry administration |
| French West Africa | Governor-General | Ernest Roume | 1902–1907 | French Republic | Much later period |
| French Equatorial Africa | Governor-General | Félix Éboué | 1938–1940 | French Republic | WWII era |
| Algeria (French) | Governor-General | Jules Cambon | 1891–1897 | French Republic | North Africa |
| Indochina (French) | Governor-General | Paul Doumer | 1897–1902 | French Republic | Southeast Asia |
| New Caledonia | Governor | Paul Feillet | 1894–1903 | French Republic | Not “New France” |
| Canada (Dominion) | Governor General | The Earl of Dufferin | 1872–1878 | Victoria | British, not French empire |
