# First Bull Run Confederate order of battle
> Confederate forces

| Brigade | Regiments and Others |
| --- | --- |
| First Brigade BG Milledge L. Bonham | 11th North Carolina: Col William W. Kirkland 2nd South Carolina: Col Joseph B. Kershaw 3rd South Carolina: Col James H. Williams 7th South Carolina: Col Thomas G. Bacon 8th South Carolina: Col Ellerbe B. C. Cash 8th Louisiana: Col Henry B. Kelly Wickham's Squadron Cavalry: Cpt Williams C. Wickham 30th Virginia Cavalry, Troops C and G: Col Richard C. W. Radford Munford's Squadron Cavalry: Ltc Thomas T. Munford Alexandria (Virginia) Light Artillery: Cpt Delaware Kemper Richmond Howitzers Battalion Artillery, 1st Battery: Cpt John C. Shields |
| Second Brigade BG Richard S. Ewell | 5th Alabama: Col Robert E. Rodes 6th Alabama: Col John J. Seibels 6th Louisiana: Col Isaac G. Seymour Washington (Louisiana) Artillery , 1st Company: Cpt Thomas L. Rosser Jenifer's Squadron Cavalry: Ltc William H. Jenifer |
| Third Brigade BG David R. Jones | 17th Mississippi: Col Winfield S. Featherston 18th Mississippi: Col Erasmus R. Burt 5th South Carolina: Col Micah Jenkins 30th Virginia Cavalry, Troop H: Cpt Joel W. Flood Washington (Louisiana) Artillery, 2nd Company: Cpt Merritt B. Miller |
| Fourth Brigade BG James Longstreet | 5th North Carolina: Ltc Joseph P. Jones 1st Virginia : Maj Frederick G. Skinner 11th Virginia : Col Samuel Garland, Jr. 17th Virginia : Col Montgomery D. Corse Independent Squad Texas Rangers 30th Virginia Cavalry, Troop E: Cpt Edgar Whitehead Washington (Louisiana) Artillery, 3rd Company, Second Section: Lt John J. Garnett |
| Fifth Brigade Col Philip St. George Cocke | 8th Virginia : Col Eppa Hunton 18th Virginia : Col Robert E. Withers 19th Virginia : Ltc John B. Strange 28th Virginia : Col Robert T. Preston 49th Virginia (3 companies): Col William Smith Schaeffer's Virginia Battalion (3 companies): Cpt Francis B. Schaeffer Loudoun (Virginia) Cavalry: Cpt William W. Mead 30th Virginia Cavalry, Troops B and D: Cpt G. W. H. Hale Loudoun (Virginia) Battery: Cpt Arthur L. Rogers Lynchburg (Virginia) Artillery, First Section: Cpt H. Grey Latham |
| Sixth Brigade Col Jubal A. Early | 7th Louisiana: Col Harry T. Hays 13th Mississippi: Col William Barksdale 7th Virginia : Col James L. Kemper 24th Virginia (6 companies): Ltc Peter Hairston, Jr. Scott's Squadron Cavalry: Maj John Scott Washington (Louisiana) Artillery, 1st and 4th Companies: Lt Charles W. Squires |
| Seventh (Demi) Brigade Col Nathan G. Evans | 1st Louisiana Battalion: Maj Chatham R. Wheat ( w ) 4th South Carolina: Col John B. E. Sloan 30th Virginia Cavalry, Troops A and I: Cpt William R. Terry Lynchburg (Virginia) Artillery, Second Section: Lt George S. Davidson |
| Reserve Brigade BG Theophilus H. Holmes | 1st Arkansas : Col James F. Fagan 2nd Tennessee: Col William B. Bate Purcell (Virginia) Artillery: Cpt R. Lindsay Walker |
| Unassigned Infantry | Hampton's (South Carolina) Legion : Col Wade Hampton ( w ), Cpt James Conner |
