# North Somerset Council School Term Dates and Holidays (Academic Year 2017–2018)

| Period (Authority-wide) | Starts | Ends | Notes |
|---|---|---|---|
| Autumn Term (Part 1) | 2017-09-04 | 2017-10-20 | Term time |
| Autumn Half-term Holiday | 2017-10-21 | 2017-10-29 | Half-term break |
| Autumn Term (Part 2) | 2017-10-30 | 2017-12-20 | Term time |
| Christmas Holiday | 2017-12-21 | 2018-01-03 | School holiday |
| Spring Term (Part 1) | 2018-01-04 | 2018-02-09 | Term time |
| Spring Half-term Holiday | 2018-02-10 | 2018-02-18 | Half-term break |
| Spring Term (Part 2) | 2018-02-19 | 2018-03-29 | Term time |
| Easter Holiday | 2018-03-30 | 2018-04-15 | School holiday |
| Summer Term (Part 1) | 2018-04-16 | 2018-05-25 | Term time |
| Summer Half-term Holiday | 2018-05-26 | 2018-06-03 | Half-term break |
| Summer Term (Part 2) | 2018-06-04 | 2018-07-23 | Term time |
| Summer Holiday | 2018-07-24 | 2018-09-02 | School holiday |
