# Worldwide Bank Ranking by Total Assets (USD, FY2022)

| Rank | Bank | Total assets (USD billion) |
| ---: | --- | ---: |
| 1 | Industrial and Commercial Bank of China (ICBC) | 5,740 |
| 2 | China Construction Bank (CCB) | 5,300 |
| 3 | Agricultural Bank of China (ABC) | 5,050 |
| 4 | Bank of China (BOC) | 4,580 |
| 5 | JPMorgan Chase | 3,660 |
| 6 | BNP Paribas | 3,180 |
| 7 | Bank of America | 3,050 |
| 8 | Crédit Agricole Group | 2,680 |
| 9 | HSBC | 2,640 |
| 10 | Mitsubishi UFJ Financial Group (MUFG) | 2,590 |
| 11 | Sumitomo Mitsui Financial Group (SMFG) | 2,240 |
| 12 | Deutsche Bank | 1,960 |
| 13 | Barclays | 1,920 |
| 14 | Santander Group | 1,830 |
| 15 | Wells Fargo | 1,720 |
| 16 | Goldman Sachs | 1,510 |
