# The Mark Levin Show — Local Time Zones and Delays (Schedule Without Exact Clock Start)

| Station | Market | Time Zone | Airing Mode | Delay (minutes) | When It Typically Runs | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| KZRG | Joplin, MO | Central | Live | 0 | Weekday afternoons | No exact start shown |
| KIOL | Tomball, TX | Central | Live | 2 | Weekday afternoons | Starts a couple minutes after |
| WABC | New York, NY | Eastern | Live | 0 | Weekday evenings | Exact clock time omitted |
| KFI | Los Angeles, CA | Pacific | Live | 0 | Weekday evenings | Preemptions possible |
| WBAP | Dallas–Fort Worth, TX | Central | Delayed | 60 | Weekday evenings | Tape delay |
| KDKA | Pittsburgh, PA | Eastern | Delayed | 30 | Weekday late evenings | Joined mid-feed |
| KEX | Portland, OR | Pacific | Delayed | 180 | Weekday evenings | Runs after local programming |
| WTIC | Hartford, CT | Eastern | Live | 0 | Weekday evenings | Station may re-air |
| KNUS | Denver, CO | Mountain | Live | 0 | Weekday evenings | Network feed |
| WFLA | Tampa, FL | Eastern | Live | 0 | Weekday evenings | Subject to breaking news |
| WTVN | Columbus, OH | Eastern | Live | 0 | Weekday evenings | Full carriage |
