# State Debt Lawsuit Deadlines (Single Limitation Period per State)

| State | Limitation period (years) | Coverage focus | Notes |
|---|---:|---|---|
| Alabama | 6 | Debt/contract (general) | Not separated by agreement type |
| Alaska | 3 | Debt collection (general) | Often cited for consumer debt |
| Arizona | 6 | Debt/contract (general) | May differ by contract form |
| California | 4 | Debt/contract (general) | Written often referenced |
| Colorado | 6 | Debt (most) | Exceptions may apply |
| Florida | 5 | Debt/contract (general) | Some debts shorter |
| Illinois | 10 | Debt/contract (general) | Frequently used for written claims |
| New York | 6 | Debt/contract (general) | Commonly stated as 6 years |
| Texas | 4 | Debt/contract (general) | Often applied to many debts |
| Washington | 6 | Debt/contract (general) | Some claims differ |
| Wisconsin | 6 | Debt/contract (general) | Generalized summary |
