# USPS Retail Postage & Shipping Prices (Common Mail Classes)

| Service / Product | Price (USD) | Notes |
| --- | ---: | --- |
| First-Class Mail Letter (1 oz) | $0.68 | Retail stamp price (single-piece) |
| First-Class Mail Letter (each additional oz) | $0.24 | Adds per extra ounce |
| Postcard (domestic) | $0.53 | Standard postcard rate |
| First-Class Package Service (Retail) – up to 4 oz | $4.75 | Typical counter price range (starts at) |
| First-Class Package Service (Retail) – up to 8 oz | $5.50 | Typical counter price range (starts at) |
| Priority Mail Flat Rate Envelope (retail) | $9.85 | Flat Rate packaging |
| Priority Mail Small Flat Rate Box (retail) | $10.20 | Flat Rate packaging |
| Priority Mail Medium Flat Rate Box (retail) | $17.10 | Flat Rate packaging |
| Priority Mail Large Flat Rate Box (retail) | $22.80 | Flat Rate packaging |
| Priority Mail Express Flat Rate Envelope (retail) | $30.45 | Flat Rate packaging |
