# The Art Institute of Atlanta - Tuition & Cost by Fee Category

| Cost Item | Amount (USD) | Notes |
| --- | ---: | --- |
| Tuition (annual) | 17,596 | Full-time estimate |
| Technology fee | 450 | Per academic year |
| Student services fee | 300 | Per academic year |
| Books & supplies | 1,200 | Estimated |
| Housing (off-campus) | 9,600 | Estimated |
| Meals | 3,200 | Estimated |
| Transportation | 1,100 | Estimated |
| Personal expenses | 1,500 | Estimated |
| Total estimated cost of attendance | 34,946 | Tuition + living + fees |
