# Baby Names by Origin and Meaning (Curated Cross-Cultural List)

| Name | Gender | Origin / Source Tradition | Meaning | Notes |
| --- | --- | --- | --- | --- |
| Amina | Girl | Arabic | trustworthy; faithful | Common across many Muslim cultures |
| Leif | Boy | Old Norse | heir; descendant | Scandinavian linguistic origin |
| Sora | Unisex | Japanese | sky | Also can be a given name or nickname |
| Niamh | Girl | Irish (Gaelic) | bright; radiant | Traditional Irish spelling |
| Mateo | Boy | Spanish (from Hebrew) | gift of God | Cognate of Matthew |
| Priya | Girl | Sanskrit (Indian) | beloved; dear | Used across South Asia |
| Ezra | Boy | Hebrew | help | Biblical origin |
| Zuri | Girl | Swahili | beautiful | East African language origin |
| Anaya | Girl | Sanskrit | caring; compassionate | Modern usage, Sanskrit-rooted |
| Hugo | Boy | Germanic | mind; intellect | From Germanic *hug* (“mind, spirit”) |
