# French monarchs (Dynasty and faction emphasis rather than succession linkage)

| Era | Monarch | Reign start | Reign end | Dynasty/House | Political faction label |
| --- | --- | --- | --- | --- | --- |
| Early Middle Ages | Pepin the Short | 751 | 768 | Carolingian | Frankish nobility |
| Early Middle Ages | Charlemagne | 768 | 814 | Carolingian | Imperial/Carolingian |
| Early Middle Ages | Louis the Pious | 814 | 840 | Carolingian | Carolingian |
| 10th century | Hugh Capet | 987 | 996 | Capetian | Robertian-Capetian |
| 12th century | Philip II Augustus | 1180 | 1223 | Capetian | Capetian royal domain |
| 14th century | Philip VI | 1328 | 1350 | Valois | Valois party |
| 16th century | Henry IV | 1589 | 1610 | Bourbon | Bourbon/Huguenot convert |
| 17th century | Louis XIV | 1643 | 1715 | Bourbon | Absolutist court |
| 19th century | Louis-Philippe I | 1830 | 1848 | Orléans | Orléanist |
| 19th century | Napoleon III | 1852 | 1870 | Bonaparte | Bonapartist |
