# Weather extremes in Canada
> Provincial Extremes

| Province | Driest Place | Average Annual Precipitation (mm) |
| --- | --- | --- |
| British Columbia | Ashcroft | 208 |
| Yukon | Komakuk | 161 |
| Alberta | Empress | 291 |
| Northwest Territories | Mould Bay | 111 |
| Saskatchewan | Alsask | 299 |
| Nunavut | Eureka | 76 |
| Manitoba | Churchill | 432 |
| Ontario | Big Trout Lake | 609 |
| Quebec | Inukjuak | 460 |
| New Brunswick | Belledune | 970 |
| Nova Scotia | Pugwash | 1052 |
| Prince Edward Island | Long River | 1046 |
| Newfoundland & Labrador | Wabush | 852 |
