# Illinois ZIP Codes by Metro Area (Subdivided Listing)

| Metro Area | Subarea | Common City | ZIP Code | ZIP Type |
|---|---|---|---|---|
| Chicago Metro | Loop | Chicago | 60601 | Standard |
| Chicago Metro | North Side | Chicago | 60614 | Standard |
| Chicago Metro | West Side | Chicago | 60624 | Standard |
| Chicago Metro | Suburbs | Evanston | 60201 | Standard |
| Chicago Metro | Suburbs | Schaumburg | 60173 | Standard |
| St. Louis Metro (IL) | East Metro | Belleville | 62220 | Standard |
| Quad Cities | Rock Island area | Moline | 61265 | Standard |
| Springfield Area | Capital region | Springfield | 62701 | Standard |
| Peoria Area | Central IL | Peoria | 61602 | Standard |
| Champaign-Urbana | College towns | Champaign | 61820 | Standard |
