# Longest-Lived U.S. Senators — Lifespan Ranking with Death-Age Details

| Rank | Senator | State | Birth Date | Death Date | Lifespan (Years) | Lifespan (Days) | Notes |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | Strom Thurmond | South Carolina | 1902-12-05 | 2003-06-26 | 100 | 36504 | Reached age 100 while a former senator |
| 2 | Carl Hayden | Arizona | 1877-10-02 | 1972-01-25 | 94 | 34482 | One of the earliest senators to exceed 90 |
| 3 | George Smathers | Florida | 1913-08-11 | 2007-01-19 | 93 | 34237 | Long-lived former senator |
| 4 | Hiram Fong | Hawaii | 1906-10-01 | 2004-08-18 | 97 | 35747 | First Asian American U.S. Senator; lived past 97 |
| 5 | Clifford P. Hansen | Wyoming | 1912-10-16 | 2009-10-20 | 97 | 35424 | Lived to 97 |
| 6 | Harry F. Byrd Jr. | Virginia | 1914-06-10 | 2013-07-30 | 99 | 36194 | One of the longest-lived U.S. Senators |
| 7 | Richard Russell Jr. | Georgia | 1897-11-02 | 1971-01-21 | 73 | 26673 | Included for comparison; not among top longevity |
| 8 | Dianne Feinstein | California | 1933-06-22 | 2023-09-29 | 90 | 32960 | Among oldest to serve while in office |
| 9 | John Glenn | Ohio | 1921-07-18 | 2016-12-08 | 95 | 34877 | Former senator with very long lifespan |
| 10 | Daniel Inouye | Hawaii | 1924-09-07 | 2012-12-17 | 88 | 32214 | Noted senior senator; lifespan included |
| 11 | Thomas F. Eagleton | Missouri | 1929-09-04 | 2007-03-04 | 77 | 28219 | Included as a lower-rank anchor |
| 12 | Robert C. Byrd | West Virginia | 1917-11-20 | 2010-06-28 | 92 | 33762 | Long-lived and long-serving; lifespan shown |

(Sub-ranking may be filtered to top-N by Lifespan; table focuses on lifespan/age-at-death rather than tenure.)
