# Metric Thread Pitch Reference (Coarse & Fine) — No Tap-Drill Recommendations

| Metric thread designation | Major diameter (mm) | Pitch (mm) | Thread series | Notes |
|---|---:|---:|---|---|
| M6 × 1.0 | 6.0 | 1.0 | Coarse | ISO metric coarse pitch |
| M6 × 0.75 | 6.0 | 0.75 | Fine | Common fine alternative |
| M8 × 1.25 | 8.0 | 1.25 | Coarse | ISO metric coarse pitch |
| M8 × 1.0 | 8.0 | 1.0 | Fine | Often used in thin sections |
| M10 × 1.5 | 10.0 | 1.5 | Coarse | Standard coarse |
| M10 × 1.25 | 10.0 | 1.25 | Fine | Standard fine |
| M12 × 1.75 | 12.0 | 1.75 | Coarse | Standard coarse |
| M12 × 1.5 | 12.0 | 1.5 | Fine | Standard fine |
| M14 × 2.0 | 14.0 | 2.0 | Coarse | Standard coarse |
| M14 × 1.5 | 14.0 | 1.5 | Fine | Standard fine |
