# 2016 NFL Draft Consensus Board Snapshot — Top 15 Prospects (Overall)

| Consensus Rank | Prospect | Source Count |
|---:|---|---:|
| 1 | Joey Bosa | 8 |
| 2 | Jalen Ramsey | 8 |
| 3 | Laremy Tunsil | 7 |
| 4 | Carson Wentz | 7 |
| 5 | Ezekiel Elliott | 7 |
| 6 | Jared Goff | 7 |
| 7 | DeForest Buckner | 6 |
| 8 | Ronnie Stanley | 6 |
| 9 | Myles Jack | 6 |
| 10 | Leonard Floyd | 5 |
| 11 | Derrick Henry | 4 |
| 12 | Vernon Hargreaves III | 4 |
| 13 | Sheldon Rankins | 4 |
| 14 | Shaq Lawson | 3 |
| 15 | Kevin Dodd | 3 |
