# List of Shinto shrines in Taiwan
> List of shrines

| Shrine name | Location | Rank | Enshrined deity |
| --- | --- | --- | --- |
| Taichū Shrine (台中神社) | Taichū | 国小 | Prince Yoshihisa, Three Kami Deities of Cultivation |
| Shōka Shrine (彰化神社) | Shōka | 郷社 | Prince Yoshihisa, Three Kami Deities of Cultivation |
| Inrin Shrine (員林神社) | Inrin district | 郷社 | Prince Yoshihisa, Three Kami Deities of Cultivation |
| Kiyomizu Shrine (清水神社) | Taikō District | 郷社 | Prince Yoshihisa, Three Kami Deities of Cultivation, Amaterasu |
| Toyohara Shrine (豊原神社) | Toyohara district |  | Prince Yoshihisa, Three Kami Deities of Cultivation, Amaterasu |
| Tōsei Shrine (東勢神社) | Tōsei district |  | Prince Yoshihisa, Ōnamuchi no Mikoto, Emperor Meiji, Ōyamazumi no Kami, Ōwatatsumi no Kami |
| Takeyama Shrine (竹山神社) | Chikuzan district |  | Prince Yoshihisa, Three Kami Deities of Cultivation, Emperor Meiji |
| Hokuto Shrine (北斗神社) | Hokuto district |  | Prince Yoshihisa, Three Kami Deities of Cultivation, Emperor Meiji |
| Tanaka Shrine (田中神社) | Inrin district |  | Prince Yoshihisa, Emperor Meiji |
| Rokō Shrine (鹿港神社) | Shōka district |  | Prince Yoshihisa, Emperor Meiji, Kotoshironushi no Mikoto, Ōwatatsumi no Kami |
| (秀水神社) | Shōka district |  | Prince Yoshihisa, Three Kami Deities of Cultivation, Emperor Meiji |
| (能高神社) | Nōkō District |  | Prince Yoshihisa, Three Kami Deities of Cultivation |
| Nantō Shrine (南投神社) | Nantō district |  | Prince Yoshihisa, Three Kami Deities of Cultivation, Amaterasu |
| Gyochi Shrine (魚池神社) | Niitaka district |  | Prince Yoshihisa, Three Kami Deities of Cultivation |
