# List of lieutenant governors of Delhi
> Lieutenant Governors

| No | Name | Took office | Left office |
| --- | --- | --- | --- |
| 1 | Aditya Nath Jha , ICS | 7 November 1966 | 19 January 1972 |
| 2 | M.C. Pimputkar, ICS | 19 January 1972 | 23 April 1972 |
| 3 | Baleshwar Prasad, IAS | 24 April 1972 | 3 Oct 1974 |
| 4 | Krishan Chand, ICS | 4 October 1974 | 30 March 1978 |
| 5 | Dalip Rai Kohli, ICS | 1978 | 1979 |
| 6 | Jagmohan , IAS | Feb 1980 | 1981 |
| 7 | Sundar Lal Khurana , IAS | 1981 | Sep 1982 |
| 8 | Jagmohan , IAS | Sep 1982 | Mar 1984 |
| 9 | P. G. Gavai, IAS | April 1984 | Nov 1984 |
| 10 | Mohan M.K. Wali, IAS | Nov 1984 | Nov 1985 |
| 11 | Harkishan Lal Kapoor, PVSM, AVSM | Nov 1985 | Aug 1988 |
| 12 | Romesh Bhandari , IAS | Aug 1988 | Dec 1989 |
| 13 | Arjan Singh , D.F.C. | Dec 1989 | Dec 1990 |
| 14 | Markandey Singh, I.P.S. | Dec 1990 | 4 May 1992 |
| 15 | Prasannabhai Karunashankar Dave, IAS | 4 May 1992 | 4 January 1997 |
| 16 | Tejendra Khanna , IAS | 4 January 1997 | 20 April 1998 |
| 17 | Vijai Kapoor , IAS | 20 April 1998 | 9 June 2004 |
| 18 | Banwari Lal Joshi I.P.S. | 9 June 2004 | 9 April 2007 |
| 19 | Tejendra Khanna , IAS | 9 April 2007 | 9 July 2013 |
| 20 | Najeeb Jung , IAS | 9 July 2013 | incumbent |
