# Isotope lists , 0-24
> Fluorine

| Isotope | Half-life | Spin Parity | Mode(s) or Abundance |
| --- | --- | --- | --- |
| 14F |  | (2-) | %p=100 |
| 15F | 1.0 MeV | (   1 ⁄ 2 +) | %p=100 |
| 16F | 40 keV | 0- | %p=100 |
| 17F | 64.49 s | 5 ⁄ 2 + | %K+%β+=100 |
| 18F | 109.77 m | 1+ | %K+%β+=100 |
| 19F | stable | 1 ⁄ 2 + | %Abundance=100 |
| 20F | 11.00 s | 2+ | %β-=100 |
| 21F | 4.158 s | 5 ⁄ 2 + | %β-=100 |
| 22F | 4.23 s | 4+,(3+) | %β-=100 |
| 23F | 2.23 s | (   3 ⁄ 2 ,5/2)+ | %β-=100 |
| 24F | 0.34 s | (1,2,3)+ | %β-=100 |
| 25F | 59 ms |  | %β-=100, %β-n=15 |
