# Contract and Consumer Debt Statutes of Limitations by State (Oral vs. Written, Plus Common Debt Types)

| State | Contract / Debt Type | Oral agreement (years) | Written contract (years) | Notes |
| --- | --- | ---: | ---: | --- |
| California | General contract | 2 | 4 | Written often used for most consumer contracts |
| California | Open account (e.g., revolving) | 2 | 4 | Some sources treat as written if cardmember agreement exists |
| Texas | General contract | 4 | 4 | TX commonly uses a single period for most contract actions |
| Texas | Promissory note | 4 | 4 | Often aligned with contract period |
| Florida | General contract | 4 | 5 | Oral vs written distinction is explicit |
| Florida | Open account | 4 | 4 | Frequently separated from “written contract” |
| New York | General contract | 6 | 6 | Oral and written often the same period |
| Ohio | General contract | 6 | 8 | Written period shortened in recent law changes (commonly cited) |
| Illinois | General contract | 5 | 10 | Written typically longer than oral |
| Georgia | General contract | 4 | 6 | Written contracts usually have longer limitations |
| Nevada | General contract | 4 | 6 | Clear oral vs written split in many debt charts |
| Oklahoma | General contract | 3 | 5 | Oral shorter than written |
| Colorado | General contract | 3 | 6 | Some debt categories can differ; written often longer |
| Arizona | General contract | 3 | 6 | Written typically doubled compared with oral |
| Alaska | General contract | 3 | 3 | Example of state with no practical oral/written difference |
