# Countries Without Direct Ocean Access (Includes Non-sovereign Territories)

| Entity | Status | Region | Reason listed |
|---|---|---|---|
| Austria | Sovereign state | Europe | No coastline |
| Switzerland | Sovereign state | Europe | No coastline |
| Nepal | Sovereign state | Asia | No coastline |
| Bolivia | Sovereign state | South America | No coastline |
| Paraguay | Sovereign state | South America | No coastline |
| Kosovo | Partially recognized | Europe | No coastline |
| Hong Kong | Special administrative region | Asia | Not a sovereign state; inland access irrelevant |
| Macau | Special administrative region | Asia | Not a sovereign state; inland access irrelevant |
| Transnistria | De facto state | Europe | No coastline |
| South Ossetia | De facto state | Asia/Europe | No coastline |
| Northern Cyprus | De facto state | Europe/Asia | No coastline |
| Vatican City | Sovereign state | Europe | No coastline |
