# Local Fuel Surcharges in Major U.S. Cities (Add-on to State Rate)

| State | City/County | Local gasoline surcharge (¢/gal) | Local diesel surcharge (¢/gal) | Effective area (examples) | Administration |
|---|---|---:|---:|---|---|
| California | Los Angeles County | 2.0 | 2.0 | LA Metro transit district | Local authority |
| California | San Francisco | 3.5 | 3.5 | City limits | City ordinance |
| Illinois | Cook County | 6.0 | 6.0 | Chicago suburbs | County excise |
| Nevada | Clark County | 4.0 | 4.0 | Las Vegas area | County fuel levy |
| Washington | King County | 1.8 | 1.8 | Seattle metro | Transportation benefit |
| New York | New York City | 4.0 | 4.0 | NYC boroughs | Local add-on |
| Pennsylvania | Philadelphia | 3.0 | 3.0 | City limits | Local infrastructure |
| Colorado | Denver | 2.5 | 2.5 | Denver metro | Regional fee |
| Oregon | Multnomah County | 1.5 | 1.5 | Portland area | Local program |
| Minnesota | Hennepin County | 2.0 | 2.0 | Minneapolis area | County surcharge |
