# 1982 NASCAR Budweiser Late Model Sportsman Series
> Calendar

| No. | Race Title | Track | Date |
| --- | --- | --- | --- |
| 1 | Goody's 300 | Daytona International Speedway , Daytona Beach | Feb 13 |
| 2 | Eastern 150 | Richmond Fairgrounds Raceway , Richmond | Feb 20 |
| 3 | Southeastern 150 | Bristol International Speedway , Bristol | Mar 13 |
| 4 | Dogwood 500 | Martinsville Speedway , Martinsville | Mar 28 |
| 5 | TranSouth 200 | Darlington Raceway , Darlington | Apr 3 |
| 6 | Mountain Dew 300 | Hickory Speedway , Hickory | Apr 10 |
| 7 | Busch 200 | South Boston Speedway , South Boston | Apr 18 |
| 8 | Budweiser 200 | Caraway Speedway , Asheboro | Apr 23 |
| 9 | Spring 220 | Richmond Fairgrounds Raceway , Richmond | May 2 |
| 10 | Hampton Chevy 200 | Langley Speedway , Hampton | May 8 |
| 11 | Sportsman 200 | Dover Downs International Speedway , Dover | May 15 |
| 12 | Sunkist 200 | Hickory Speedway , Hickory | May 23 |
| 13 | Mello Yello 300 | Charlotte Motor Speedway , Concord | May 29 |
| 14 | Inaugural 200 | Asheville Speedway , Asheville | June 11 |
| 15 | Winston 200 | Hickory Speedway , Hickory | June 19 |
| 16 | Roses Stores 200 | South Boston Speedway , South Boston | June 26 |
| 17 | Coca-Cola 200 | North Carolina Motor Speedway , Rockingham | June 27 |
| 18 | Goody's 200 | Caraway Speedway , Asheboro | July 7 |
| 19 | Lowes 200 | South Boston Speedway , South Boston | July 24 |
| 20 | Goody's 200 | Hickory Speedway , Hickory | Aug 1 |
| 21 | Gene Lovelace 200 | Langley Speedway , Hampton | Aug 7 |
| 22 | Kroger 200 | Indianapolis Raceway Park , Clermont | Aug 13 |
| 23 | Pet Dairy 150 | Bristol International Speedway , Bristol | Aug 27 |
| 24 | Bobby Isaac Memorial 200 | Hickory Speedway , Hickory | Sept 4 |
| 25 | Harvest 150 | Richmond Fairgrounds Raceway , Richmond | Sept 11 |
| 26 | Autumn 150 | Martinsville Speedway , Martinsville | Sept 25 |
| 27 | Miller Time 300 | Charlotte Motor Speedway , Concord | Oct 9 |
| 28 | Southern Auto Racing News 200 | Hickory Speedway , Hickory | Oct 17 |
| 29 | Cardinal 250 | Martinsville Speedway , Martinsville | Oct 31 |
