# Travel Vaccination Requirements and Recommendations for Thailand (Inbound Travelers)

| Vaccine / Immunization | Entry Requirement Status | Recommended For Most Travelers | Recommended For Specific Travelers / Situations | Notes (Traveler-Focused) |
| --- | --- | --- | --- | --- |
| Yellow Fever | Conditional (Required if arriving from a risk country) | No | Yes (if transiting/arriving from YF-risk areas) | Proof may be requested at immigration depending on travel history |
| Hepatitis A | Not required | Yes | Yes | Commonly advised for food/water exposure risk |
| Typhoid | Not required | Often advised | Yes (rural travel, street food, long stays) | Higher priority for longer itineraries outside major cities |
| Hepatitis B | Not required | Consider | Yes (medical work, tattoos/piercings, sexual exposure, long stays) | Stronger consideration for extended travel |
| Rabies (pre-exposure) | Not required | Consider | Yes (animal contact, caving, remote areas, long stays) | Pre-exposure does not remove need for care after a bite |
| Japanese Encephalitis | Not required | Usually no | Yes (rural/agricultural areas, multi-week stays, monsoon season) | Risk depends on season and location within the country |
| Tetanus-Diphtheria-Pertussis (Tdap/Td) | Not required | Yes (keep up to date) | Yes | Routine booster important for injury risk while traveling |
| Influenza | Not required | Consider | Yes (peak season travel, chronic conditions, group tours) | Useful for crowded transport and tours |
| Measles-Mumps-Rubella (MMR) | Not required | Yes (if not fully vaccinated) | Yes | Outbreaks can occur; check immunity before departure |
| Polio | Not required | Consider | Yes (if unvaccinated/booster-needed, certain regional advisories) | Booster sometimes advised depending on itinerary and origin country |
