# Cross-Country Central Bank Key Policy Rates (Emerging & Smaller Advanced Economies)

| Country | Central bank | Key policy rate (%) |
|---|---|---:|
| Mexico | Banco de México (Banxico) | 11.25 |
| Indonesia | Bank Indonesia (BI) | 6.00 |
| South Korea | Bank of Korea (BOK) | 3.50 |
| Turkey | Central Bank of the Republic of Turkey (CBRT) | 45.00 |
| Russia | Bank of Russia | 16.00 |
| Saudi Arabia | Saudi Central Bank (SAMA) | 6.00 |
| Switzerland | Swiss National Bank (SNB) | 1.75 |
| Sweden | Sveriges Riksbank | 4.00 |
| New Zealand | Reserve Bank of New Zealand (RBNZ) | 5.50 |
