# What Homeowners Pay  Central AC + Coil Installed Price by Brand and Tonnage (Labor Included)

| Brand | System Size (Tons) | Installed Price (AC + Evaporator Coil) | Ductwork Modifications Included? | Typical Install Complexity |
|---|---:|---:|---|---|
| Goodman | 2.0 | $2,450–$3,300 | No | Standard swap-out |
| Goodman | 3.0 | $2,900–$3,900 | No | Standard swap-out |
| Lennox | 2.0 | $3,250–$4,350 | No | Standard swap-out |
| Lennox | 3.0 | $3,800–$5,200 | No | Standard swap-out |
| Rheem | 2.0 | $2,750–$3,750 | No | Standard swap-out |
| Rheem | 3.0 | $3,200–$4,450 | No | Standard swap-out |
| American Standard | 2.0 | $3,200–$4,250 | No | Standard swap-out |
| American Standard | 3.0 | $3,700–$5,100 | No | Standard swap-out |
| Heil | 2.0 | $2,650–$3,650 | No | Standard swap-out |
| Heil | 3.0 | $3,050–$4,250 | No | Standard swap-out |
| Tempstar | 2.0 | $2,550–$3,550 | No | Standard swap-out |
| Tempstar | 3.0 | $2,950–$4,150 | No | Standard swap-out |
