# Calorie Chart for Common Snacks and Drinks (Per Serving)

| Category | Item | Serving Size | Calories (kcal) | Notes |
|---|---|---:|---:|---|
| Snack | Potato chips | 1 oz (28 g) | 152 | Regular, salted |
| Snack | Granola bar | 1 bar (35 g) | 160 | Oats & honey style |
| Snack | Mixed nuts | 1 oz (28 g) | 173 | Dry roasted |
| Drink | Latte (2% milk) | 12 fl oz | 190 | No syrup |
| Drink | Cola | 12 fl oz | 140 | Sugared |
| Drink | Orange juice | 8 fl oz | 112 | 100% juice |
| Dessert | Ice cream | 1/2 cup | 137 | Vanilla |
| Fast food | French fries | Small (71 g) | 230 | Salted |
| Fast food | Cheeseburger | 1 sandwich | 300 | Single patty |
