# Stainless Spring Alloys — Corrosion Resistance and Service Temperature Guide

| Alloy/Grade | Corrosion Resistance (Relative) | Chloride Pitting Tendency | Stress Corrosion Cracking Risk | Continuous Service Temp (°C) | Magnetic? | Typical Environment |
|---|---|---|---|---:|---|---|
| AISI 302 | Good | Moderate | Moderate | 260 | Slight | General atmosphere |
| AISI 304 | Good | Moderate | Moderate | 315 | Slight | Food/chemical mild |
| AISI 316 | Very good | Better than 304 | Moderate | 425 | Slight | Marine splash, salts |
| AISI 321 | Good | Moderate | Moderate | 870 | Slight | High-temp with Ti stabilization |
| AISI 17-7PH | Good | Moderate | Low–moderate | 315 | Yes | Spring applications needing strength |
| AISI 410 | Fair | High | Low | 650 | Yes | Mild corrosion, wear |
| AISI 420 | Fair | High | Low | 650 | Yes | Cutlery-like environments |
| Duplex 2205 | Very good | Low | Low | 315 | Yes | Chlorides, process plants |
| 904L | Excellent | Low | Low | 400 | No | Aggressive acids |
| Inconel X-750 | Excellent | Very low | Low | 700 | No | High-temp oxidation |
| Inconel 718 | Excellent | Very low | Low | 650 | No | High strength at temperature |
| Monel 400 | Very good | Low | Low | 480 | No | Seawater, HF exposure |
