# Microsoft Office 2003
> Editions

| Application | Office Basic | Student and Teacher Edition | Standard | Small Business | Professional Edition |
| --- | --- | --- | --- | --- | --- |
| Word | Yes | Yes | Yes | Yes | Yes |
| Excel | Yes | Yes | Yes | Yes | Yes |
| Outlook | Yes | Yes | Yes | Yes with Business Contact Manager [17] | Yes with Business Contact Manager [17] |
| PowerPoint | No | Yes | Yes | Yes | Yes |
| Publisher | No | No | No | Yes | Yes |
| Access | No | No | No | No | Yes |
| InfoPath | No | No | No | No | Volume edition only |
| OneNote | No | No | No | No | No |
| FrontPage | No | No | No | No | No |
| Visio | No | No | No | No | No |
| Project | No | No | No | No | No |
