# Daylight Saving Time (DST) in the Americas — Country Territory Comparison (Start End Dates Included)

| Country/Territory | Subregion | DST observed? | DST start date (clocks forward) | DST end date (clocks back) | Typical rule/source style |
| --- | --- | --- | --- | --- | --- |
| United States | Northern America | Yes | Second Sunday in March | First Sunday in November | Federal rule (most areas) |
| Canada | Northern America | Yes | Second Sunday in March | First Sunday in November | Provincial/territorial rules |
| Mexico | Northern America | Partial | Early April (varies) | Late October (varies) | By zone/state |
| Cuba | Caribbean | Yes | Second Sunday in March | First Sunday in November | Often aligns with U.S. timing |
| Haiti | Caribbean | Sometimes/variable | — | — | May suspend in some years |
| Jamaica | Caribbean | No | — | — | Does not observe DST |
| Nicaragua | Central America | No | — | — | Does not observe DST |
| Panama | Central America | No | — | — | Does not observe DST |
| Brazil | South America | No (currently) | — | — | DST discontinued in recent years |
| Chile | South America | Yes (rule can change) | Early September (varies) | Early April (varies) | Decrees may shift dates |
| Paraguay | South America | Yes | First Sunday in October | Fourth Sunday in March | Fixed Sunday-based rule |
| Argentina | South America | No | — | — | No nationwide DST |
| Uruguay | South America | No (currently) | — | — | DST suspended/discontinued |
| Colombia | South America | No | — | — | No seasonal clock changes |
