# Hydrogen-Bonding and Physical Properties of Oxygen Functional Group Classes

| Functional group class | Hydrogen-bond donor? | Hydrogen-bond acceptor? | Typical boiling point trend (relative) | Typical solubility in water | Example compound |
| --- | --- | --- | --- | --- | --- |
| Alcohol | Yes | Yes | High | High (small chains) | 1-propanol |
| Phenol | Yes | Yes | High | Moderate | Phenol |
| Ether | No | Yes | Medium | Low–moderate | Diethyl ether |
| Aldehyde | No | Yes | Medium | Moderate (small) | Propanal |
| Ketone | No | Yes | Medium | Moderate | Acetone |
| Carboxylic acid | Yes (strong) | Yes | Very high (dimerization) | High (small) | Acetic acid |
| Ester | No | Yes | Medium | Low–moderate | Ethyl acetate |
| Anhydride | No | Yes | Medium–high | Reacts with water | Acetic anhydride |
| Amide (oxygen-containing) | Yes | Yes | Very high | High | Acetamide |
| Acyl chloride | No | Yes | Variable | Reacts with water | Acetyl chloride |
| Peroxide | No | Yes | Variable | Low | Benzoyl peroxide |
| Carbonate ester | No | Yes | Medium | Low–moderate | Dimethyl carbonate |
