# MRI Spine Exams and CPT Codes (Pricing and Patient Charges Included)

| Spine MRI exam | Contrast status | CPT code | Facility charge (USD) | Notes |
|---|---|---:|---:|---|
| MRI Cervical spine | Without contrast | 72141 | 780 | Includes sagittal + axial sequences |
| MRI Cervical spine | With contrast | 72142 | 940 | Requires IV gadolinium |
| MRI Cervical spine | With and without contrast | 72156 | 1200 | Pre/post contrast images |
| MRI Thoracic spine | Without contrast | 72146 | 760 | Standard thoracic protocol |
| MRI Thoracic spine | With and without contrast | 72157 | 1180 | Often used for tumor/infection |
| MRI Lumbar spine | Without contrast | 72148 | 740 | Most common low-back MRI |
| MRI Lumbar spine | With and without contrast | 72158 | 1190 | Post-op evaluation |
| MRI Sacrum/coccyx | Without contrast | 72195 | 720 | Sometimes bundled with pelvis |
| MRI Whole spine (screening) | Without contrast | 72100 | 650 | Not a standard MRI spine CPT mapping |
| MRI Pelvis (for comparison) | With and without contrast | 72197 | 1250 | Non-spine region included |
