# Australia Public Holidays 2019 — Holiday Calendar Combined with State Coverage and Sources

| Date | Holiday name | States/territories where observed | Legal reference / source |
| --- | --- | --- | --- |
| 2019-01-01 | New Year's Day | All (NSW, VIC, QLD, SA, WA, TAS, ACT, NT) | Fair Work Ombudsman summary |
| 2019-01-28 | Australia Day (Observed) | All | State/territory proclamations |
| 2019-03-11 | Labour Day | VIC | Victorian public holiday calendar |
| 2019-04-19 | Good Friday | All | State legislation varies |
| 2019-04-22 | Easter Monday | All | State legislation varies |
| 2019-04-25 | Anzac Day | All | National observance |
| 2019-06-10 | Queen's Birthday | Most (not WA, QLD) | Government gazettes |
| 2019-12-25 | Christmas Day | All | Fair Work Ombudsman summary |
| 2019-12-26 | Boxing Day / Proclamation Day | Most (SA uses Proclamation Day naming) | State/territory notes |
