# List of Dragon Ball Z episodes
> Episode list

| Orig. ep# | Initial dub ep# | Translated title / Funimation's dub title Original Japanese title | Original airdate | English airdate |
| --- | --- | --- | --- | --- |
| 140 | 125 | "Discovery of an Evil Egg!! A Terrified Trunks" / "Seized with Fear" "Jaaku no Tamago o Hakken!! Kyōfu suru Torankusu" (邪悪の卵を発見!!恐怖するトランクス) | May 20, 1992 | October 4, 2000 |
| 141 | 126 | "To Face an Unprecedented Foe... Birth of a Super Namekian!!" / "The Reunion" "Katsutenai Teki ni Mukete... Sūpā Namekkuseijin Tanjō!!" (かつてない敵に向けて…超ナメック星人誕生!!) | May 27, 1992 | October 5, 2000 |
| 142 | 127 | "Kamehame-Ha!? The Monster Who Possesses Goku's Ki" / "Borrowed Powers" "Kamehameha!? Gokū no Ki o Motsu Monsutā" (カメハメ波!?悟空の気を持つモンスター) | June 3, 1992 | October 6, 2000 |
| 143 | 128 | "A Life Form of Evil and Destruction!! His Name Is Artificial Human Cell" / "His Name is Cell" "Zōo to Hakai no Seimeitai!! Yatsu no Na wa Jinzō Ningen Seru" (憎悪と破壊の生命体!!奴の名は人造人間セル) | June 10, 1992 | October 9, 2000 |
| 144 | 129 | "Piccolo's Grievous Mistake! Cell Turned Loose on the City!" / "Piccolo's Folly" "Pikkoro Tsūkon no Daishippai! Seru ga Machi ni Hanatareta!" (ピッコロ痛恨の大失敗！セルが街に放たれた！) | June 17, 1992 | October 10, 2000 |
| 145 | 130 | "The Secret of Cell's Birth! What Lies Below the Laboratory!?" / "Laboratory Basement" "Seru Tanjō no Himitsu! Kenkyūjo no Chika ni Nani ga Aru!?" (セル誕生の秘密！研究所の地下に何がある!?) | June 24, 1992 | October 11, 2000 |
| 146 | 131 | "Goku Awakens to Battle! Go Beyond Super Saiyan!!" / "Our Hero Awakes" "Gokū Tatakai e no Mezame! Sūpā Saiyajin o Koero!!" (悟空闘いへの目覚め！超サイヤ人を超えろ!!) | July 1, 1992 | October 11, 2000 |
| 147 | 132 | "Hasten Your Training, Saiyans! In the Room of Spirit and Time..." / "Time Chamber" "Shugyō o Isoge Saiyajin! Seishin to Toki no Heya de..." (修行を急げサイヤ人！精神と時の部屋で…) | July 8, 1992 | October 13, 2000 |
| 148 | 133 | "The Gekiretsu Kodan That Split the Heavens!! Piccolo vs. Artificial Human No. 17" / "The Monster is Coming" "Ten o Saku Gekiretsu Kōdan!! Pikkoro Tai Jinzō Ningen Jūnanagō" (天を裂く激烈光弾!!ピッコロVS人造人間17号) | July 15, 1992 | October 16, 2000 |
| 149 | 134 | "How I Have Waited for This Day!! Cell's Prologue to Perfection" / "He's Here" "Kono Hi o Matte Ita!! Seru - Kanzentai eno Jokyoku" (この日を待っていた!!セル・完全体への序曲) | July 22, 1992 | October 17, 2000 |
| 150 | 135 | "The Suicide Counterattack Proves Ineffective! Piccolo's Flame Burns Out!!" / "Up to Piccolo" "Sutemi no Hangeki Oyobazu! Pikkoro Moetsukiru!!" (捨て身の反撃及ばず！ピッコロ燃え尽きる!!) | July 29, 1992 | October 18, 2000 |
| 151 | 136 | "One Final Remaining Hope... No. 16, the Wordless Warrior, Takes Action!!" / "Silent Warrior" "Nokosareta Yuiitsu no Nozomi... Mugon no Senshi Jūrokugō Tatsu!!" (残された唯一の望み…無言の戦士16号立つ!!) | August 5, 1992 | October 19, 2000 |
| 152 | 137 | "No. 17 Swallowed... The Transforming Cell is a Super Gourmet" / "Say Goodbye, 17" "Jūnanagō o Nomikonda... Henshin Seru wa Chōgurume" (17号を飲み込んだ…変身セルは超グルメ) | August 12, 1992 | October 20, 2000 |
| 153 | 138 | "Tomorrow, I Am Going to Pulverize You!! Goku's Challenge" / "Sacrifice" "Ashita wa Omee o Tatakinomesu!! Gokū no Chōsenjō" (明日はオメエを叩きのめす!!悟空の挑戦状) | August 19, 1992 | October 23, 2000 |
| 154 | 139 | "I Will Dispose of Everything!! A Reborn Vegeta, Father and Son, Sally Forth" / "Saiyans Emerge" "Subete Ore ga Katazukeru!! Shinsei Bejīta Oyako Shutsugeki" (全てオレが片付ける!!新生ベジータ親子出撃) | August 26, 1992 | October 24, 2000 |
| 155 | 140 | "Suddenly Full-Throttle!! The Super Power of a Radiant Vegeta" / "Super Vegeta" "Ikinari Zenkai!! Hikarikagayaku Bejīta no Chōpawā" (いきなり全開!!光り輝くベジータの超パワー) | September 2, 1992 | October 25, 2000 |
| 156 | 141 | "On Your Knees, Cell! I Am Super Vegeta!!" / "Bow to the Prince" "Seru yo Hizamazuke! Ore wa Sūpā Bejīta da!!" (セルよひざまずけ！オレは超ベジータだ!!) | September 9, 1992 | October 26, 2000 |
| 157 | 142 | "Dangerous Pride!! A Challenge to Cell's Perfect Form" / "Hour of Temptation" "Kiken na Puraido!! Kanzentai Seru eno Chōsen" (危険なプライド!!完全体セルへの挑戦) | September 16, 1992 | October 27, 2000 |
| 158 | 143 | "I'm So Distraught!! Kururin's Handiwork in Destroying No. 18" / "Krillin's Decision" "Ore Nayanjau!! Kuririn no Jūhachigō Hakai Kōsaku" (オレ悩んじゃう!!クリリンの18号破壊工作) | September 23, 1992 | October 30, 2000 |
| 159 | 144 | "A Shock to the Entire Universe!! Cell's Spectacular Evolution Toward His Perfect Form" / "The Last Defense" "Zen'uchū ni Shōgeki!! Seru, Kanzentai e Kyōi no Shinka" (全宇宙に衝撃!!セル、完全体へ驚異の進化) | September 30, 1992 | October 31, 2000 |
| 160 | 145 | "Battle Power Infinity!! Birth of the God of Destruction Named Cell" / "Cell is Complete" "Sentōryoku Mugendai!! Seru to Iu Na no Hakaishin Tanjō" (戦闘力無限大!!セルという名の破壊神誕生) | October 14, 1992 | November 1, 2000 |
| 161 | 146 | "Super Vegeta in Peril!! An Absolutely Perfect Terror Closes In!!" / "Vegeta Must Pay" "Sūpā Bejīta Ayaushi!! Kanzen Muketsu no Kyōfu ga Semaru!!" (超ベジータ危うし!!完全無欠の恐怖が迫る!!) | October 21, 1992 | November 2, 2000 |
| 162 | 147 | "Breaking Through the Boundaries of the Super Saiyan!! Trunks Summons a Storm" / "Trunks Ascends" "Sūpā Saiyajin no Genkai Toppa!! Arashi o Yobu Torankusu" (超サイヤ人の限界突破!!嵐を呼ぶトランクス) | October 28, 1992 | November 3, 2000 |
| 163 | 148 | "Save Your Father!! Trunks' Fury, Which Scorches Even the Heavens" / "Saving Throw" "Chichi o Sukue!! Ten o mo Kogasu Torankusu no Ikari" (父を救え!!天をも焦がすトランクスの怒り) | November 4, 1992 | November 6, 2000 |
| 164 | 149 | "A Future of Despair!! Trunks, the Man Who Lived Through Hell" / "Ghosts from Tomorrow" "Zetsubō no Mirai!! Jigoku o Ikinuita Otoko Torankusu" (絶望の未来!!地獄を生き抜いた男トランクス) | November 11, 1992 | November 7, 2000 |
| 165 | 150 | "Super Trunks Has a Weakness!! Cell's Shocking Bombshell Declaration" / "The Cell Games" "Sūpā Torankusu ni Jakuten!! Seru, Shōgeki no Bakudan Hatsugen" (超トランクスに弱点!!セル、衝撃の爆弾発言) | November 18, 1992 | November 8, 2000 |
