# Playable Zombie-Themed Video Games by Supported Platforms (Selected Titles)

| Game title | Release year | Supported platform(s) | Notes |
| --- | --- | --- | --- |
| Dying Light | 2015 | PlayStation 4, Xbox One, Windows | Open-world action survival horror |
| Dying Light: The Following (Enhanced Edition) | 2016 | PlayStation 4, Xbox One, Windows | Standalone expansion/complete edition entry |
| Dead Island: Definitive Edition | 2016 | PlayStation 4, Xbox One, Windows | Remaster of Dead Island |
| Dead Island: Riptide Definitive Edition | 2016 | PlayStation 4, Xbox One, Windows | Remaster of Riptide |
| Dead Rising 3: Apocalypse Edition | 2014 | Xbox One, Windows | Expanded edition of Dead Rising 3 |
| Dead Rising 4 | 2016 | Xbox One, Windows | Mainline Dead Rising entry |
| State of Decay | 2013 | Xbox 360, Windows | Base game (original release) |
| State of Decay 2 | 2018 | Xbox One, Windows | Cooperative survival |
| World War Z | 2019 | PlayStation 4, Xbox One, Windows | Co-op shooter based on the film |
| Back 4 Blood | 2021 | PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S, Windows | Co-op shooter (infected enemies) |
