# Super Smash Bros. Series Fighters by Franchise (Roster Reference)

| Fighter | Franchise | First Appearance | Fighter Type | Notable Item/Stage Association |
| --- | --- | --- | --- | --- |
| Mario | Super Mario | Donkey Kong (1981) | Starter | Mushroom Kingdom |
| Link | The Legend of Zelda | The Legend of Zelda (1986) | Starter | Hyrule Castle |
| Samus | Metroid | Metroid (1986) | Starter | Brinstar |
| Kirby | Kirby | Kirby's Dream Land (1992) | Starter | Dream Land |
| Fox | Star Fox | Star Fox (1993) | Starter | Corneria |
| Pikachu | Pokémon | Pokémon Red/Green (1996) | Starter | Saffron City |
| Ness | EarthBound | EarthBound (1994) | Starter/Unlockable | Onett |
| Captain Falcon | F-Zero | F-Zero (1990) | Starter/Unlockable | Big Blue |
| Rosalina & Luma | Super Mario | Super Mario Galaxy (2007) | Unlockable | Comet Observatory |
| Cloud | Final Fantasy | Final Fantasy VII (1997) | DLC/Guest | Midgar |
