# List of Brazilian federative units by gross domestic product
> Listings

| Federative unit | population in millions † | # | GDP in BRL million | GDP in USD million | Share | Comparable country | # | GDP Per capita in BRL | GDP Per capita in USD | Comparable country |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| North Region [†] | 15.8 | — | 7005231383000000000♠ 231,383 | 7005118415000000000♠ 118,415 | 7000530000000000000♠ 5.3% | Angola | — | 7004141790000000000♠ 14,179 | 7003725600000000000♠ 7,256 | Azerbaijan |
| Rondônia | 1.7 | 7001210000000000000♠ 21 | 7004293620000000000♠ 29,362 | 7004150270000000000♠ 15,027 | 6999700000000000000♠ 0.7% | Jamaica | 7001120000000000000♠ 12 | 7004184660000000000♠ 18,466 | 7003945000000000000♠ 9,450 | Lebanon |
| Acre | 0.8 | 7001260000000000000♠ 26 | 7003962900000000000♠ 9,629 | 7003492800000000000♠ 4,928 | 6999200000000000000♠ 0.2% | Suriname | 7001190000000000000♠ 19 | 7004126900000000000♠ 12,690 | 7003649400000000000♠ 6,494 | Montenegro |
| Amazonas | 3.8 | 7001150000000000000♠ 15 | 7004641200000000000♠ 64,120 | 7004328150000000000♠ 32,815 | 7000150000000000000♠ 1.5% | Jordan | 7001130000000000000♠ 13 | 7004178560000000000♠ 17,856 | 7003913800000000000♠ 9,138 | Suriname |
| Roraima | 0.5 | 7001270000000000000♠ 27 | 7003731400000000000♠ 7,314 | 7003374300000000000♠ 3,743 | 6999200000000000000♠ 0.2% | Sierra Leone | 7001140000000000000♠ 14 | 7004155770000000000♠ 15,577 | 7003797200000000000♠ 7,972 | Colombia |
| Pará | 8.0 | 7001120000000000000♠ 12 | 7004910090000000000♠ 91,009 | 7004465760000000000♠ 46,576 | 7000210000000000000♠ 2.1% | Slovenia | 7001220000000000000♠ 22 | 7004116790000000000♠ 11,679 | 7003597700000000000♠ 5,977 | Dominican Republic |
| Amapá | 0.8 | 7001250000000000000♠ 25 | 7004104200000000000♠ 10,420 | 7003533300000000000♠ 5,333 | 6999200000000000000♠ 0.2% | Timor-Leste | 7001150000000000000♠ 15 | 7004149150000000000♠ 14,915 | 7003763300000000000♠ 7,633 | Grenada |
| Tocantins | 1.5 | 7001240000000000000♠ 24 | 7004195300000000000♠ 19,530 | 7003999500000000000♠ 9,995 | 6999400000000000000♠ 0.4% | Armenia | 7001160000000000000♠ 16 | 7004137760000000000♠ 13,776 | 7003705000000000000♠ 7,050 | Bulgaria |
| Northeast Region [†] | 53.5 | — | 7005595382000000000♠ 595,382 | 7005304699000000000♠ 304,699 | 7001136000000000000♠ 13.6% | Malaysia | — | 7004110450000000000♠ 11,045 | 7003565300000000000♠ 5,653 | Ecuador |
| Maranhão | 6.8 | 7001160000000000000♠ 16 | 7004588200000000000♠ 58,820 | 7004301020000000000♠ 30,102 | 7000130000000000000♠ 1.3% | Bahrain | 7001260000000000000♠ 26 | 7003876000000000000♠ 8,760 | 7003448300000000000♠ 4,483 | Tonga |
| Piauí | 3.2 | 7001230000000000000♠ 23 | 7004257210000000000♠ 25,721 | 7004131630000000000♠ 13,163 | 6999600000000000000♠ 0.6% | Namibia | 7001270000000000000♠ 27 | 7003813800000000000♠ 8,138 | 7003416500000000000♠ 4,165 | Tunisia |
| Ceará | 8.8 | 7001130000000000000♠ 13 | 7004901320000000000♠ 90,132 | 7004461270000000000♠ 46,127 | 7000210000000000000♠ 2.1% | Slovenia | 7001230000000000000♠ 23 | 7004104730000000000♠ 10,473 | 7003536000000000000♠ 5,360 | Thailand |
