# Half Acre Beer Company
> Beer

| Name | Style | ABV % | IBU | Notes |
| --- | --- | --- | --- | --- |
| Daisy Cutter | West Coast pale ale | 5.2 |  | Available year-round |
| Akari Shogun | Wheat ale | 5.5 |  | Seasonal |
| Lead Feather | Black Ale | 6.0 |  | Seasonal |
| Pony Pilsner | Pilsner | 5.8 |  | Available year-round |
| Gone Away | India Pale Ale | 7.0 |  | Seasonal |
| Alpenglow | Winter dark ale | 5.0 |  | Seasonal |
| Baumé | Rye stout | 7.0 | 60 | Seasonal |
| Big Hugs | Imperial stout | 10.0 |  | Seasonal |
| Callow Knife | Pale ale | 5.0 |  | Seasonal |
| Canyon of Heroes | India Pale Ale | 6.1 |  | Seasonal |
| Chocolate Camaro | Stout | 6.0 |  | Seasonal |
| Chub Step | Porter | 6.0 |  | Seasonal |
| Crystal Norde | Baltic porter | 7.0 |  | Seasonal |
| Double Daisy Cutter | Pale ale |  |  | Seasonal |
| Ginger twin | India-style red ale |  |  | Seasonal |
| The Grotto | Extra pale ale | 4.5 |  | Seasonal |
| Half Acre Lager | Lager |  |  | Seasonal |
| The Hammer, the Bullet, & the Vise | English brown ale | 5.0 |  | Seasonal |
| Lager Town | Oktoberfest | 6.0 |  | Seasonal |
| Mr. Ouroboros | German pale ale | 6.0 |  | Seasonal |
| Navaja | Double India Pale Ale | 9.5 |  | Available year-round |
| Over Ale | Brown ale | 6.0 |  | Seasonal |
| Quakerbridge | Barley wine | 10.0 |  | Seasonal |
| Space | India Pale Ale | 6.7 |  | Available year-round |
| Sticky Fat | American dark ale | 6.3 |  | Seasonal |
| Thunder & Son | Brown ale | 10.0 |  | Seasonal |
| Vallejo | India Pale Ale | 6.7 |  | Seasonal |
