# Sydney Technical High School
> Faculties

| Faculty | HSC Subjects |
| --- | --- |
| Creative Arts | Music 1, Music 2, Music Extension, Visual Arts |
| English | Drama, English (Standard & Advanced), English Extensions 1 & 2 |
| History | Legal Studies, Ancient History, Modern History, History Extension, Studies of Religion 1, Studies of Religion 2, Accelerated History (Yr 9-10) |
| Languages | French (Not Available since 2014), German (Not Available since 2014), Japanese (Beginners, Continuers & Extension) |
| Mathematics | Mathematics, Mathematics Extensions 1 & 2 |
| PD/Health/PE/Careers | Personal Development/Health/Physical Education, Human Movement |
| Science | Biology, Chemistry, Physics |
| Social science | Business Studies, Economics, Geography, Commerce |
| Industrial arts and computing studies | Design and Technology, Engineering Studies, Information and Software Technology, Information Processes and Technology (Year 11-12 and accelerated Year 9-10), Information Technology (VET), Software Design and Development (SDD), Graphic and Computing Studies |
