# PIN Code Directory for Jaipur City (Rajasthan) — Localities and Post Offices

| Locality / Post Office | PIN Code | State |
|---|---:|---|
| Jaipur G.P.O. | 302001 | Rajasthan |
| Ajmer Road | 302006 | Rajasthan |
| Bani Park | 302016 | Rajasthan |
| C-Scheme | 302001 | Rajasthan |
| Durgapura | 302018 | Rajasthan |
| Jagatpura | 302017 | Rajasthan |
| Jhotwara | 302012 | Rajasthan |
| Malviya Nagar | 302017 | Rajasthan |
| Mansarovar | 302020 | Rajasthan |
| Shastri Nagar | 302016 | Rajasthan |
