# Extraocular Muscles  Actions With Nerve Listed Only as CN Numbers (No Named Nerves)

| Extraocular muscle | Primary action | Secondary actions | Innervation (CN number only) | Typical deficit described |
|---|---|---|---|---|
| Superior rectus | Elevation | Adduction, intorsion | III | Trouble elevating, especially in abduction |
| Inferior rectus | Depression | Adduction, extorsion | III | Trouble depressing, especially in abduction |
| Medial rectus | Adduction | — | III | Cannot adduct; lateral deviation at rest |
| Lateral rectus | Abduction | — | VI | Cannot abduct; medial deviation at rest |
| Superior oblique | Intorsion | Depression, abduction | IV | Vertical diplopia worse on stairs |
| Inferior oblique | Extorsion | Elevation, abduction | III | Difficulty elevating in adduction |
| Levator palpebrae superioris | Elevates upper lid | — | III | Ptosis |
| Dilator pupillae (not an EOM) | Dilates pupil | — | III (parasympathetic discussed indirectly) | Anisocoria |
| Ciliary muscle (not an EOM) | Accommodation | — | III (parasympathetic discussed indirectly) | Blurred near vision |
