# Manwel Dimech
> Important dates

| Month and date | Year of event | Age | Event |
| --- | --- | --- | --- |
| December 25 | 1860 | - | Born at Valletta |
| June 11 | 1874 | 13 | Commits first prosecuted crime (theft) just two weeks after his father's death. Sentenced to 2 days detention |
| October 20 | 1874 | 13 | Commits second prosecuted crime (robbery), and is sentenced to one year imprisonment |
| May 18 | 1876 | 15 | Commits third prosecuted crime (theft), and is sentenced to 20 days imprisonment |
| December 4 | 1876 | 15 | Commits fourth prosecuted crime (theft), and is sentenced to 20 days imprisonment |
| January 6 | 1877 | 16 | Commits fifth prosecuted crime (theft), and is sentenced to 3 months imprisonment with hard labour |
| May 11 | 1877 | 16 | Commits sixth prosecuted crime (theft), and is sentenced to 3 months imprisonment with hard labour |
| October 10 | 1877 | 16 | Commits seventh prosecuted crime (theft), and is sentenced to 20 days imprisonment |
| November 14 | 1877 | 16 | Commits eighth prosecuted crime (theft), and is sentenced to one month imprisonment and £5 fine (equal to one month imprisonment) |
| November | 1877 | 16 | Begins learning how to read and write |
| February | 1878 | 17 | Commits ninth prosecuted crime (murder), and is sentenced to 20 years imprisonment with hard labour. (His accomplice is hanged) |
| October 30 | 1890 | 29 | Released from imprisonment, he goes abroad to Tunisia. Returns in December. |
| January 5 | 1891 | 30 | Commits tenth (final) prosecuted crime (counterfeit of false money), and is sentenced to 9 years imprisonment with hard labour. |
| July 31 | 1897 | 36 | Definitely released from imprisonment. |
| January 8 | 1898 | 37 | Begins weekly newspaper, Il Bandiera tal Maltin (The Flag of the Maltese). |
| February | 1898 | 37 | Opens school of modern languages. |
| March 17 | 1900 | 39 | The Bishop of Malta condemns one of his articles, and admonishes him. |
| March 22 | 1900 | 39 | His mother dies. |
| October 2 | 1900 | 39 | Marries Virginia Agius. |
| April 12 | 1902 | 41 | For the first time, he announces his organisation, Ix Xirca Maltïa (eventually begun in 1911). |
| May | 1902 | 41 | Publishes English grammar book, Il Chelliem Inglis . |
| November 26 | 1903 | 42 | Visits Montenegro (for almost three weeks). |
| October 8 | 1904 | 43 | Begins publishing a political novel , Ivan u Prascovia . |
| August 16 | 1906 | 45 | Voyages abroad. Visits Marseilles and the north of Italy (Genoa, Milan and Turin). |
| April | 1907 | 46 | Returns from Italy. |
| November | 1907 | 46 | Publishes a four-language grammar book, Il Chelliem tal Erbat Ilsna . |
| March 19 | 1908 | 47 | Returns to Italy. |
| May | 1911 | 50 | Returns from Italy. |
| June 24 | 1911 | 50 | Announces his organisation, Ix Xirca tal Imdaulin (The Society of the Illumined). |
| October 2 | 1911 | 50 | The Bishop of Malta condemns his organisation and weekly newspaper. |
| October 23 | 1911 | 50 | The Bishop excommunicates him. A year of persecutions begins, with public demonstrations against him. |
| January 21 | 1912 | 51 | Is almost killed by a fanatical mob at Qormi . |
| November 26 | 1912 | 51 | Reaches agreement with the Bishop. |
| December 1 | 1912 | 51 | The Bishop formally retires the excommunication. |
| March | 1914 | 53 | Publishes a book of rules for his newly established organisation, Is Sisien tax Xirca Maltïa . |
| August 31 | 1914 | 53 | Arrested on false charges. |
| September 5 | 1914 | 53 | Deported to Sicily. |
| October | 1914 | 53 | Imprisoned at Syracuse as a prisoner of war (WWI). |
| November 22 | 1914 | 53 | Deported to Alexandria, Egypt. |
| December | 1914 | 54 | Imprisoned at El-Hadra (Alexandria). |
| January | 1915 | 54 | Transferred to concentration camp at Ras-el-Tin (Alexandria). |
| May | 1915 | 54 | Again sent to El-Hadra. |
| June | 1915 | 54 | Transferred to the mental asylum of Abbassih (Cairo). |
| January | 1917 | 56 | Transferred to military camp at Kasir El Nil (Cairo). Begins writing his Aphorisms (till November 1920). |
| December | 1918 | 58 | Transferred to concentration camp of Sidi Bishir (Alexandria). |
| November 4 | 1918 | 58 | His son, Attilio, dies in Malta from hunger. |
| November 11 | 1918 | 58 | WWI having ended, he formally begins his (illegal) exile. |
| September 12 | 1919 | 58 | The Governor of Malta refuses to end his (illegal) exile. |
| November | 1920 | 59 | Half paralysed by apoplexy. Ends writing his Aphorisms (from January 1917). |
| December | 1920 | 60 | Transferred to Victoria College at Sidi Bishir itself. (The college was transformed into a hospital due to war exigencies.) |
| April 17 | 1921 | 60 | Dies at Victoria College, Sidi Bishir (Alexandria, Egypt), and buried in an unmarked grave. |
