# Fallout 4 Unique Armor & Clothing Items and Where to Find Them

| Item (Unique Apparel) | Slot/Type | Location (Exact Place) | How to Obtain |
| --- | --- | --- | --- |
| Silver Shroud Costume | Outfit | Goodneighbor (Memory Den, in the Silver Shroud set area) | Loot from set/quest area |
| Silver Shroud Hat | Headwear | Goodneighbor (Memory Den, same set area) | Loot near costume |
| Grognak Costume | Outfit | Hubris Comics (Display/behind counter area) | Loot in the store |
| Grognak Axe | Melee Weapon | Hubris Comics (Near Grognak display) | Loot (pairs with costume) |
| Minutemen General's Uniform | Outfit | The Castle (General's quarters/armory room, on mannequin or container) | Loot inside The Castle |
| Agatha's Dress | Outfit | Parsons State Insane Asylum (Interior rooms, on a bed/closet area) | Loot during/after access |
| Black Suit (Unique spawn) | Outfit | Vault 114 (Near overseer/security area, on a body or container) | Loot while exploring Vault 114 |
| Courser Uniform | Outfit | The Institute (Institute areas; commonly on a Courser body) | Loot from defeated Courser |
| Mechanist's Armor | Outfit/Armor | Automatron: RobCo Sales & Service Center (Mechanist lair final room) | Loot after completing the lair |
| Seashell Bathrobe | Outfit | Poseidon Energy Turbine 18-F (Dorm/locker area, on a chair/locker) | Loot in facility interior |
