# Housing Market Rates Overview (Not Lender Mortgage Product Quotes)

| Market Measure | Current | 1-Day Change | 4-Week Avg | Source Type | Why It’s Not a Product Quote |
| --- | --- | --- | --- | --- | --- |
| National Home Price Index (YoY) | 5.2% | +0.0 | 5.1% | Price index | Not an interest rate |
| Average Rent Growth (YoY) | 3.1% | +0.1 | 3.0% | Rent index | Not a mortgage term |
| Mortgage Application Index | 165.0 | -2.3 | 168.4 | Survey index | Volume metric |
| Refinance Share of Applications | 29.0% | -0.8 | 29.6% | Survey | Mix metric |
| Average Points Paid (All Loans) | 0.82 | +0.03 | 0.79 | Survey | Points without rates |
| Lender Capacity Utilization | 74% | +1% | 73% | Industry estimate | Operational metric |
| Rate Lock Volume (Estimated) | 41,200 | -1,050 | 42,100 | Industry estimate | Not rate/APR |
| Housing Affordability Index | 94.5 | -0.6 | 95.1 | Composite index | Not lender pricing |
| Credit Spread (Generic) | 1.55% | +0.02 | 1.52% | Market proxy | Not a mortgage product rate |
