# List of LGBT characters in film
> J

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Scotty J. | Boogie Nights | Gay | Film |
| Sean Jackson | Valentine's Day | Gay | Film |
| Noxeema Jackson | To Wong Foo, Thanks for Everything! Julie Newmar | Gay | Film |
| James | Shortbus | Gay | Film |
| Jamie | Shortbus | Gay | Film |
| Ruth Jamison | Fried Green Tomatoes | Bisexual | Film |
| Jarod | Another Gay Movie | Gay | Film |
| Jill | Curse of Chucky | Lesbian | Film |
| Joanne Jefferson | Rent | Lesbian | Film |
| Jade | Most Likely To Die | Lesbian | Film |
| Jeffrey | Jeffrey | Gay | Film |
| Joey | Boy Culture | Gay | Film |
| Joey | Obvious Child | Gay | Film |
| Johnny | My Beautiful Laundrette | Gay | Film |
| Maureen Johnson | Rent | Bisexual | Film |
| Alyssa Jones | Chasing Amy ; Jay and Silent Bob Strike Back | Bisexual | Film |
| Mick Jones | The Joneses | Gay | Film |
| Jonno | Shank | Bisexual | Film |
| Jules | The Kids Are All Right | Lesbian | Film |
