# Selected Mendelian Disorders and Their Causal Genes (with Chromosomal Loci)

| Condition | Gene(s) | Chromosomal locus (example) | Inheritance (typical) |
| --- | --- | --- | --- |
| Achondroplasia | FGFR3 | 4p16.3 | Autosomal dominant |
| Marfan syndrome | FBN1 | 15q21.1 | Autosomal dominant |
| Sickle cell disease | HBB | 11p15.4 | Autosomal recessive |
| Tay–Sachs disease | HEXA | 15q23-q24 | Autosomal recessive |
| Phenylketonuria (PKU) | PAH | 12q23.2 | Autosomal recessive |
| Duchenne muscular dystrophy | DMD | Xp21.2 | X-linked recessive |
| Spinal muscular atrophy (SMA) | SMN1 | 5q13.2 | Autosomal recessive |
| Neurofibromatosis type 1 | NF1 | 17q11.2 | Autosomal dominant |
| Hereditary breast/ovarian cancer syndrome | BRCA1; BRCA2 | 17q21.31; 13q13.1 | Autosomal dominant |
| Wilson disease | ATP7B | 13q14.3 | Autosomal recessive |
