# Super Smash Bros. Series Fighters (Cross-Game Roster Overview)

| Fighter | First Appearance in Smash | Playable In Melee? | Notes |
| --- | --- | --- | --- |
| Mewtwo | Melee | Yes | Pokémon representative |
| Meta Knight | Brawl | No | Not in Melee |
| Ike | Brawl | No | Not in Melee |
| King K. Rool | Ultimate | No | Not in Melee |
| Mii Brawler | Smash 4 | No | Not in Melee |
| Snake | Brawl | No | Not in Melee |
| Daisy | Ultimate | No | Echo-style in later games |
| Ridley | Ultimate | No | Later addition |
| Lucina | Smash 4 | No | Not in Melee |
| Wolf | Brawl | No | Not in Melee |
