# List of battles of the Mexican–American War
> 1848

| Battle | Date | Engagement remarks | Result |
| --- | --- | --- | --- |
| Capture of San Blas | January 11, 1848 | An unopposed landing party under Lieutenant Frederick Chatard , captured the coastal fort and brought off two pieces of artillery and two schooners, one belonging to the custom-house. With no force sufficient to defend it and the port made defenseless, no American occupation of the city took place. | (A) |
| Landing at Manzanillo | January 18, 1848 | Lieutenant Chatard landed a small party at Manzanillo and spiked three large guns defending the port, rendering it defenseless. | (A) |
| Siege of San José del Cabo | January 22/February 14 | A Mexican siege of San José del Cabo that failed when the garrison with a U. S. Navy landing force attacked together to break it up. | (A) |
| Skirmish at Cochori | January 30, 1848 | Fabius Stanley 's surprise descent on the camp at the village of Cochori held by Mexican forces blockading Guaymas. | (A) |
| Skirmish at Bocachicacampo | February 13, 1848 | Fabius Stanley's surprise night naval landing and assault against Campuzano's main camp blockading Guaymas, at Bocachicacampo . | (A) |
| Action of Sequalteplan | February 25 | An American force under Gen. Lane defeated a Mexican guerrilla force under Padre Jarauta at Zacualtipan | (A) |
| Truce of March 6, 1848 | March 6, 1848 | Truce ordered the official end of hostilities between Mexico and the United States, awaiting the ratification of the Treaty of Guadalupe Hidalgo. From January to August Mexican partisans continued to resist the U.S. Army of Occupation. Formal fighting, however, had ceased by the terms of the truce on March 6, 1848. This truce also ended attacks by guerrilla units under the control of the government. Rebellious guerrilla units continued until to the end of the American occupation in July or, like that of Padre Jaruta , until crushed by the Mexican Army, as it was obligated to do under terms of the truce. [4] | (-) |
| Battle of Santa Cruz de Rosales | March 16 | Sterling Price advances into Chihuahua after the Treaty of Guadalupe Hidalgo was signed. He captured Chihuahua after being told by the Mexican Governor Angel Trias that the Truce of March 6, was already signed. Price followed the Mexican garrison that fell back to Santa Cruz de Rosales and defeated it, before getting word from his chain of command of the cessation of hostilities. | (A) |
| Skirmish of Todos Santos | March 31 | The culminating clash of Lt. Col. Henry S. Burton 's campaign that defeated Mexican forces in Baja California Sur and subsequently dispersed them, after the Treaty of Guadalupe Hidalgo, and the truce of March 6, was already signed. | (A) |
