# Major Oxide Composition of the Earth's Crust (Weight %)

| Oxide | Formula | Typical wt.% | Notes |
|---|---:|---:|---|
| Silica | SiO2 | 60.2 | Dominant framework oxide |
| Alumina | Al2O3 | 15.4 | Major in feldspars |
| Iron(II) oxide | FeO | 6.3 | Reported as FeO* |
| Calcium oxide | CaO | 5.4 | Common in plagioclase |
| Magnesium oxide | MgO | 3.7 | Higher in mafic crust |
| Sodium oxide | Na2O | 3.1 | Alkali component |
| Potassium oxide | K2O | 2.8 | Enriched in continental crust |
| Titanium dioxide | TiO2 | 0.7 | Minor oxide |
| Phosphorus pentoxide | P2O5 | 0.2 | Trace but reported as oxide |
| Manganese oxide | MnO | 0.1 | Minor component |
