# London Rail & Tube Stations — Borough, Zone, and Managing Authority

| Station | Local Authority | Managed by | Mode | Fare Zone | Platforms |
|---|---|---|---|---|---:|
| Clapham Junction | Wandsworth | Network Rail | National Rail | 2 | 17 |
| Canary Wharf | Tower Hamlets | TfL | Underground/DLR | 2 | 6 |
| Wimbledon | Merton | Network Rail / TfL | National Rail/Underground/Tram | 3 | 10 |
| Richmond | Richmond upon Thames | Network Rail / TfL | National Rail/Overground/Underground | 4 | 7 |
| Highbury & Islington | Islington | Network Rail / TfL | Overground/Underground | 2 | 8 |
| Finsbury Park | Haringey | Network Rail / TfL | National Rail/Underground | 2 | 8 |
| Stratford | Newham | Network Rail / TfL | Multi-modal | 2-3 | 13 |
| London Bridge | Southwark | Network Rail | National Rail/Underground | 1 | 15 |
| Victoria | Westminster | Network Rail | National Rail/Underground | 1 | 19 |
