# Biblical Baby Names (Old Testament)  Meaning, Gender, Origin, and Notable Reference

| Name | Gender | Meaning | Origin (Language) | Biblical tradition / reference |
| --- | --- | --- | --- | --- |
| Adam | Boy | Man; from the ground | Hebrew | First man in Genesis |
| Eve | Girl | Life; living | Hebrew | First woman in Genesis |
| Noah | Boy | Rest; comfort | Hebrew | Builder of the ark |
| Sarah | Girl | Princess | Hebrew | Wife of Abraham |
| Rebecca | Girl | To tie; to bind | Hebrew | Wife of Isaac |
| Rachel | Girl | Ewe; female sheep | Hebrew | Wife of Jacob |
| Leah | Girl | Weary; delicate | Hebrew | Wife of Jacob |
| Miriam | Girl | Beloved; bitter (traditional interpretations vary) | Hebrew | Sister of Moses |
| Deborah | Girl | Bee | Hebrew | Prophetess and judge |
| Ruth | Girl | Friend; companion | Hebrew | Central figure in the Book of Ruth |
| Samuel | Boy | Heard by God | Hebrew | Prophet who anointed kings |
| Daniel | Boy | God is my judge | Hebrew | Prophet in the Book of Daniel |
