# National CD Rate Highlights by Bank (Mixed Terms in One Table)

| Bank | CD Term | APY | Minimum Opening Deposit | Notes |
| --- | --- | --- | --- | --- |
| Lakeview Savings Bank | 6-month CD | 1.05% | $1,000 | Online-only |
| Harborstone Federal CU | 12-month CD | 1.45% | $500 | Membership required |
| Redwood Capital Bank | 24-month CD | 1.70% | $2,500 | New money only |
| Summit Ridge Bank | 30-month CD | 1.85% | $1,000 | Limited-time promo |
| Prairie Direct Bank | 36-month CD | 2.05% | $10,000 | Step-up option available |
| Granite Community Bank | 60-month CD | 2.25% | $5,000 | Early withdrawal penalty applies |
| Metro National Bank | 18-month CD | 1.60% | $1,500 | Branch/online |
| BlueSky Bank | 9-month CD | 1.20% | $2,000 | Relationship pricing |
| Cedar Trust Bank | 48-month CD | 2.15% | $1,000 | Callable CD |
| Atlantic Corner Bank | 3-month CD | 0.95% | $500 | Requires autopay from checking |
