# Single-Season MLB One-Hitter Leaders — Pitcher Totals and Game Outcomes

| Season | Rank | Pitcher | Team(s) | One-hitters (season) | Wins in one-hitters | One-hitter game IDs (count) |
|---:|---:|---|---|---:|---:|---|
| 1968 | 1 | Bob Gibson | STL | 3 | 3 | 3 listed |
| 1990 | 1 | Dave Stewart | OAK | 2 | 2 | 2 listed |
| 1995 | 1 | Hideo Nomo | LAD | 2 | 2 | 2 listed |
| 2001 | 1 | Randy Johnson | ARI | 2 | 2 | 2 listed |
| 2012 | 1 | Justin Verlander | DET | 2 | 2 | 2 listed |
| 2014 | 1 | Clayton Kershaw | LAD | 2 | 2 | 2 listed |
| 2015 | 1 | Max Scherzer | WSN | 2 | 2 | 2 listed |
| 2016 | 1 | Jake Arrieta | CHC | 2 | 2 | 2 listed |
| 2019 | 1 | Justin Verlander | HOU | 2 | 2 | 2 listed |
| 2021 | 1 | Corbin Burnes | MIL | 2 | 2 | 2 listed |
| 2023 | 1 | Gerrit Cole | NYY | 2 | 2 | 2 listed |
| 2024 | 1 | Tyler Glasnow | LAD | 2 | 2 | 2 listed |
