# Global Largest Banks Ranking by Total Assets (USD, latest available)

| Rank | Bank name | Country/Region | Total assets (USD trillion) |
|---:|---|---|---:|
| 1 | JPMorgan Chase & Co. | United States | 4.00 |
| 2 | Industrial and Commercial Bank of China (ICBC) | China | 3.90 |
| 3 | Bank of America | United States | 3.20 |
| 4 | China Construction Bank (CCB) | China | 3.60 |
| 5 | Agricultural Bank of China (ABC) | China | 3.50 |
| 6 | BNP Paribas | France | 2.80 |
| 7 | Mitsubishi UFJ Financial Group (MUFG) | Japan | 3.10 |
| 8 | HSBC Holdings | United Kingdom | 2.90 |
| 9 | Crédit Agricole Group | France | 2.70 |
| 10 | Barclays | United Kingdom | 2.10 |
| 11 | Santander Group | Spain | 2.00 |
| 12 | UBS Group | Switzerland | 1.70 |
