# Mickey Mouse Clubhouse — Voice Actors by Core vs. Recurring Characters

| Performer | Role Category | Character(s) Voiced | Character Type |
|---|---|---|---|
| Wayne Allwine | Core | Mickey Mouse | Main |
| Russi Taylor | Core | Minnie Mouse | Main |
| Tony Anselmo | Core | Donald Duck | Main |
| Bill Farmer | Core | Goofy | Main |
| Bill Farmer | Core | Pluto | Main (mostly nonverbal) |
| Tress MacNeille | Core | Daisy Duck | Main |
| Jim Cummings | Recurring | Pete | Supporting/recurring |
| Corey Burton | Recurring | Ludwig Von Drake | Supporting/recurring |
| Rob Paulsen | Recurring | Toodles | Supporting/recurring |
| April Winchell | Recurring | Clarabelle Cow | Supporting/recurring |
| Peter Cullen | Recurring | Choo-Choo | Supporting/recurring |
| Nika Futterman | Recurring | Baby Red Bird | Supporting/recurring |
