# Proscribed Terrorist Organizations — Designation Timeline (Government-Style Summary)

| Jurisdiction | Proscription / Designation List | Organization | Category (Organization Type) | Date Designated | Public Notice Reference | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| United Kingdom | Proscribed Organisations (Terrorism Act) | Abu Sayyaf Group | Militant group | 03/29/2001 | SI Notice (UK) | Listed as an organization (not individuals) |
| United Kingdom | Proscribed Organisations (Terrorism Act) | Kurdistan Workers' Party | PKK | 03/29/2001 | SI Notice (UK) | Proscription applies to the group entity |
| United Kingdom | Proscribed Organisations (Terrorism Act) | Hamas (Izz al-Din al-Qassam Brigades) | Wing/organization | 03/29/2001 | SI Notice (UK) | Proscription record shown with designation date |
| United Kingdom | Proscribed Organisations (Terrorism Act) | Islamic Jihad Organization | Organization | 03/29/2001 | SI Notice (UK) | Organization-level entry |
| United Kingdom | Proscribed Organisations (Terrorism Act) | Al-Qaida | Network/organization | 03/28/2001 | SI Notice (UK) | Entry focuses on designation action |
| United Kingdom | Proscribed Organisations (Terrorism Act) | Islamic State (Da'esh) | Organization | 06/20/2014 | SI Notice (UK) | Date indicates when proscription applied |
| Australia | Listed Terrorist Organisations (Criminal Code) | Jemaah Islamiyah | Organization | 10/27/2002 | Gazette Notice (AU) | Listed with formal timestamp |
| Australia | Listed Terrorist Organisations (Criminal Code) | Lashkar-e-Tayyiba | Organization | 12/21/2003 | Gazette Notice (AU) | Organization entry only |
| Australia | Listed Terrorist Organisations (Criminal Code) | Boko Haram | Organization | 11/22/2014 | Gazette Notice (AU) | Clear designation date provided |
