# Colleges Grouped by Typical Average GPA Range (For Building a Reach Match Safety List)

| GPA Band (Average GPA) | College | Type | Region | Average GPA |
| --- | --- | --- | --- | --- |
| 2.5–2.9 | Chicago State University | Public | Midwest | 2.70 |
| 2.5–2.9 | University of Maine at Augusta | Public | Northeast | 2.80 |
| 3.0–3.3 | University of Texas at El Paso (UTEP) | Public | South | 3.20 |
| 3.0–3.3 | University of North Texas | Public | South | 3.30 |
| 3.4–3.7 | San Diego State University | Public | West | 3.60 |
| 3.4–3.7 | Rutgers University–New Brunswick | Public | Northeast | 3.65 |
| 3.8–4.0 | University of California, Irvine | Public | West | 3.95 |
| 3.8–4.0 | Georgia Institute of Technology | Public | South | 3.95 |
| 4.1+ | University of California, Los Angeles (UCLA) | Public | West | 4.18 |
| 4.1+ | University of California, Berkeley | Public | West | 4.19 |
