# Party Control of the U.S. Senate by Congress (Selected Congresses) — Senator-by-Senator Roster

| Congress | Senator | Party | State | Seat Class | Notes |
|---|---|---|---|---|---|
| 93rd | John C. Stennis | Democratic | MS | Class 1 | Seniority leader |
| 93rd | Barry Goldwater | Republican | AZ | Class 1 | Returned to Senate |
| 93rd | James Buckley | Conservative | NY | Class 3 | Elected on Conservative line |
| 94th | Hubert H. Humphrey | Democratic | MN | Class 2 | Former Vice President |
| 94th | Robert Dole | Republican | KS | Class 2 | Party leadership |
| 95th | Edward M. Kennedy | Democratic | MA | Class 2 | Committee influence |
| 95th | Strom Thurmond | Republican | SC | Class 3 | Party switch earlier |
| 96th | Henry M. Jackson | Democratic | WA | Class 2 | Presidential contender |
| 96th | Lowell Weicker | Republican | CT | Class 2 | Moderate Republican |
| 97th | Jeremiah Denton | Republican | AL | Class 2 | Freshman senator |
