# Netflix 4K (Ultra HD) Titles Catalog — Selected Movies, Series & Documentaries

| Title Name | Title Type | 4K Availability (First Noted) | Release Year | Notes |
| --- | --- | --- | --- | --- |
| The Irishman | Movie | Nov-19 | 2019 | Netflix Original film |
| Roma | Movie | Dec-18 | 2018 | Netflix Original film |
| Extraction | Movie | Apr-20 | 2020 | Action/thriller |
| The Adam Project | Movie | Mar-22 | 2022 | Netflix Original film |
| Stranger Things | TV Series | Jul-16 | 2016 | Multi-season series |
| The Crown | TV Series | Nov-16 | 2016 | Period drama series |
| Our Planet | Documentary Series | Apr-19 | 2019 | Nature doc series |
| Formula 1: Drive to Survive | Documentary Series | Mar-19 | 2019 | Sports doc series |
| The Queen's Gambit | Limited Series | Oct-20 | 2020 | Limited series |
| Love, Death & Robots | Animated Series | Mar-19 | 2019 | Anthology series |
