# GCSE vs A Level  Typical Subject Offerings and Common Availability Patterns (Illustrative)

| Subject Category | Subject | GCSE Offered? | A Level Offered? | Common Notes on Availability |
| --- | --- | --- | --- | --- |
| Core | English Language | Yes | Yes | A level may be combined/paired with Literature in some sixth forms |
| Core | English Literature | Yes | Yes | Common A level option |
| Core | Mathematics | Yes | Yes | Widely available |
| STEM | Biology | Yes | Yes | Often requires strong GCSE grades for A level |
| STEM | Chemistry | Yes | Yes | Often requires strong GCSE grades for A level |
| STEM | Physics | Yes | Yes | Often requires strong GCSE grades for A level |
| STEM | Computer Science | Yes | Yes | Some schools offer ICT at GCSE instead/as well |
| Humanities | History | Yes | Yes | Common A level continuation |
| Humanities | Geography | Yes | Yes | Common A level continuation |
| Languages | French | Yes | Yes | A level depends on staffing and uptake |
| Languages | German | Yes | Yes | Less common than French/Spanish in some areas |
| Languages | Spanish | Yes | Yes | Growing availability in many schools |
| Arts | Drama | Yes | Yes | Sometimes called "Drama & Theatre Studies" at A level |
| Arts | Fine Art | Yes | Yes | Often offered as "Art" at GCSE |
| Vocational/Applied | Media Studies | Yes | Yes | May be A level or equivalent (e.g., BTEC) depending on school |
| Vocational/Applied | Psychology | No / Limited | Yes | Frequently A level-only; some schools offer GCSE Psychology |
| Vocational/Applied | Sociology | No / Limited | Yes | Commonly offered at A level; GCSE is less widespread |
| PE | Physical Education | Yes | Yes | A level often titled "Physical Education" |
| RE/Humanities | Religious Studies | Yes | Yes / Limited | Some schools offer A level Philosophy/Ethics instead |
