# Usable Biblical Baby Names — Meaning-Focused Shortlist (with Testament)

| Category | Name | Meaning/Definition | Gender | Testament |
| --- | --- | --- | --- | --- |
| Patriarchs & family | Benjamin | Son of the right hand | Boy | Old |
| Patriarchs & family | Rebecca | To bind; to tie (often interpreted as “captivating”) | Girl | Old |
| Prophets | Daniel | God is my judge | Boy | Old |
| Prophets | Jonah | Dove | Boy | Old |
| Prophets | Miriam | Beloved; wished-for child (traditional) | Girl | Old |
| Kings & leaders | David | Beloved | Boy | Old |
| Kings & leaders | Gideon | Hewer; one who cuts down | Boy | Old |
| Wisdom & writings | Ruth | Companion; friend | Girl | Old |
| New Testament figures | Mary | Bitter; beloved (traditional) | Girl | New |
| New Testament figures | Martha | Lady; mistress of the house | Girl | New |
| New Testament figures | Peter | Rock; stone | Boy | New |
| New Testament figures | Paul | Small; humble | Boy | New |
| New Testament figures | Lydia | From Lydia (place-name); often glossed as “from Lydia” | Girl | New |
| Angels/visions | Gabriel | God is my strength | Boy | Old/New |
| Angels/visions | Raphael | God heals | Boy | (Deuterocanonical) |
