# British Monarchy and Major Political Events Timeline (Not a Reign Table)

| Year | Date | Monarch (context) | Event |
| --- | --- | --- | --- |
| 1685 | 6-Feb | James II | Accession of James II |
| 1688 | 11-Dec | James II | James II flees London amid Glorious Revolution |
| 1689 | 11-Apr | William III & Mary II | Coronation of William and Mary |
| 1707 | 1-May | Anne | Acts of Union take effect; Kingdom of Great Britain formed |
| 1714 | 1-Aug | Anne | Death of Anne; succession crisis avoided |
| 1715 | 6-Sep | George I | Jacobite rising intensifies |
| 1832 | 7-Jun | William IV | Reform Act receives Royal Assent |
| 1914 | 4-Aug | George V | Britain enters World War I |
| 1952 | 6-Feb | Elizabeth II | Accession of Elizabeth II |
| 1997 | 1-May | Elizabeth II | Labour wins general election |
